feature,class_label
"[-6.2704419e+02  8.3528275e+01 -6.5632663e+00  6.0831866e+00
  6.7321770e-02 -7.2730827e-01 -1.6637247e+01 -4.1168060e+00
 -1.9597054e+01 -8.9766397e+00 -1.9362488e+01 -6.8840704e+00
 -4.9517134e-01 -1.0703474e+01  1.0990638e-01 -8.8734331e+00
 -4.2250185e+00 -6.6700072e+00 -2.3490677e+00 -7.0806255e+00
 -9.9569025e+00  1.8308210e-01 -1.1721341e+01 -5.4322324e+00
 -2.9496677e+00 -8.0785980e+00 -6.1408129e+00 -4.9733467e+00
 -3.6354733e+00 -6.1100879e+00 -2.0799707e-01 -1.5794715e+00
 -4.0982313e-02  1.6715050e+00  1.3294570e+00  8.7239540e-01
 -3.0859227e+00 -2.9551096e+00 -1.9347299e+00 -1.9522066e+00]",1
"[-6.0288715e+02  6.5492973e+01  3.3031907e+00  9.0497284e+00
  3.0273673e-01 -1.1243670e+00 -9.9794436e+00 -5.1413331e+00
 -1.6950674e+01 -1.0481281e+01 -1.7957836e+01 -5.6721673e+00
  2.3667977e+00 -9.4835386e+00  1.2611769e+00 -6.4263182e+00
 -8.3043737e+00 -5.6905770e+00 -1.8755813e+00 -9.2173319e+00
 -8.3665676e+00 -6.6743016e-01 -1.2377564e+01 -4.1044068e+00
 -4.0890012e+00 -8.4437160e+00 -4.8697419e+00 -5.1184325e+00
  1.6887088e+00 -2.4171848e+00 -1.1718334e+00  6.0866231e-01
 -1.6372454e+00  2.7693486e+00  4.4528729e-01 -1.2990857e+00
 -2.7787449e+00 -3.4591012e+00  1.8066308e+00  3.8717661e+00]",1
"[-6.19875244e+02  6.84560776e+01  1.63334012e+00  4.59965467e-01
 -1.37338781e+00 -1.27701247e+00 -2.01320992e+01 -5.58003235e+00
 -2.11548367e+01 -1.18662863e+01 -2.05590363e+01 -6.89201736e+00
  3.65251255e+00 -7.13385630e+00  5.60263491e+00 -7.81642723e+00
 -3.36986685e+00 -6.49625635e+00 -1.54250062e+00 -7.69924068e+00
 -8.40328979e+00  6.54940963e-01 -1.54623165e+01  1.56813574e+00
 -4.68467999e+00 -7.64014721e+00 -5.01066521e-02 -2.38946056e+00
  6.70633936e+00 -2.40911916e-01  5.82764864e-01 -2.41694942e-01
 -3.58861208e+00 -4.29010201e+00 -4.46639872e+00 -3.10881734e+00
 -1.50972593e+00  8.74304175e-01  4.26082516e+00  5.46130562e+00]",1
"[-6.1900867e+02  8.1480736e+01 -4.5384507e+00  5.1245775e+00
 -2.8721700e+00 -2.0528810e+00 -1.9725065e+01 -1.7200149e+00
 -2.1762671e+01 -9.9981632e+00 -2.2132555e+01 -6.8922195e+00
  4.6731691e+00 -1.1108121e+01  3.0477271e+00 -9.6692638e+00
 -4.6278601e+00 -6.1908016e+00 -3.5039182e+00 -9.6223154e+00
 -8.9239626e+00  5.1740575e-01 -1.6394947e+01  1.0797640e+00
 -5.4795871e+00 -9.3652945e+00 -2.9093797e+00 -5.7616882e+00
  2.2985990e+00 -4.9494200e+00 -3.1693581e-01 -6.6940331e-01
 -2.7059209e+00 -3.1472106e+00 -4.0350056e+00 -4.8595891e+00
 -1.1047902e+00  8.9816207e-01  4.3001513e+00  7.3877640e+00]",1
"[-7.0386743e+02  9.7142952e+01 -2.2588705e+01  7.9194736e+00
 -1.6415237e+01  1.3713829e+01 -2.3302074e+01  4.3410320e+00
 -2.1619204e+01 -1.2696628e+01 -2.0807255e+01 -7.5465074e+00
 -3.0509875e+00 -5.5510564e+00 -5.1843987e+00 -7.8637691e+00
 -5.0998168e+00 -7.2269540e+00 -4.1599579e+00 -7.0542450e+00
 -8.1000576e+00  1.0176291e-01 -1.4663360e+01 -5.8582421e-02
 -5.7510605e+00 -5.8216004e+00 -3.1842289e+00 -3.8990991e+00
 -1.5223675e+00 -3.1190028e+00 -7.2403851e+00 -2.1281813e-01
 -5.8131719e+00 -1.8876395e+00 -3.3809447e+00 -3.2884424e+00
 -1.4925665e-01 -2.3799484e+00  6.4171582e-01  1.6631815e+00]",1
"[-6.0059521e+02  7.1241318e+01  3.5202992e-01  1.4334905e+01
  3.4262300e+00  8.4940207e-01 -1.7687349e+01 -2.3629742e-02
 -2.1630508e+01 -6.8999019e+00 -2.0946926e+01 -7.8371682e+00
  1.5487152e+00 -1.2562093e+01  2.4726684e+00 -1.1975663e+01
 -6.3813443e+00 -7.3656945e+00 -3.8496242e+00 -1.2104373e+01
 -1.0011456e+01  1.5006207e+00 -1.6421947e+01 -8.2380861e-01
 -6.4207287e+00 -1.0651687e+01 -3.6584249e+00 -5.4155650e+00
  1.3390096e-01 -5.4393878e+00 -8.4397781e-01 -7.4757510e-01
 -1.9223342e+00 -2.2302918e+00 -2.0135567e-02 -2.0565359e-01
  3.2154603e+00  3.7751906e+00  6.8038535e+00  7.3671784e+00]",1
"[-5.87358276e+02  6.77734299e+01 -5.19906223e-01  1.11764297e+01
  5.26646018e-01 -2.66193485e+00 -1.57176361e+01  8.55001152e-01
 -2.52191677e+01 -7.15095758e+00 -1.85902672e+01 -5.50791597e+00
  2.59511423e+00 -1.47996492e+01  2.37048650e+00 -1.20396023e+01
 -7.73468447e+00 -6.27938795e+00 -2.07481623e+00 -1.16324749e+01
 -1.05592575e+01  2.98187733e-01 -1.80289555e+01 -1.71346939e+00
 -6.95101833e+00 -1.07449417e+01 -2.74990559e+00 -6.00694323e+00
  1.04460680e+00 -5.23667049e+00 -8.58483076e-01  3.20061386e-01
 -3.76222587e+00 -3.16698253e-01  4.31713194e-01 -7.67713547e-01
  3.96054602e+00  2.87191010e+00  6.29667997e+00  5.76606131e+00]",1
"[-5.88789185e+02  6.25945511e+01 -1.26226413e+00  1.23912506e+01
 -6.87999666e-01 -3.74018252e-01 -1.58145523e+01 -3.69250345e+00
 -2.34929810e+01 -9.87193394e+00 -1.91764145e+01 -7.83156681e+00
  2.01162505e+00 -1.35411415e+01  2.06894565e+00 -1.07346382e+01
 -7.94568443e+00 -6.94343996e+00 -1.65711296e+00 -8.71761513e+00
 -1.03092737e+01  1.19039762e+00 -1.36213646e+01 -1.12080777e+00
 -6.37751245e+00 -7.40926456e+00 -1.85873890e+00 -4.98470068e+00
  2.83001351e+00 -2.85401726e+00  1.01357710e+00 -2.41598502e-01
 -2.57849884e+00 -3.67294282e-01 -4.91596609e-01 -8.68027329e-01
  1.72426963e+00  3.05196095e+00  5.92066908e+00  5.55560350e+00]",1
"[-5.9329999e+02  6.5110878e+01  8.3849490e-01  1.0227114e+01
  3.1168902e-01 -3.7209666e-01 -1.6998661e+01 -7.9954660e-01
 -2.2805752e+01 -6.3753362e+00 -1.9309280e+01 -5.8645573e+00
  3.4705868e+00 -1.4845783e+01  3.1379113e+00 -9.6682034e+00
 -6.7711186e+00 -7.0579133e+00 -5.3869909e-01 -8.5758410e+00
 -9.5553999e+00  1.5458701e+00 -1.5407833e+01  7.4908966e-01
 -6.0593705e+00 -7.6538186e+00 -2.8836358e+00 -7.1595101e+00
  7.5072521e-01 -4.2438254e+00  1.6439016e+00  2.7262166e-01
 -2.0486040e+00 -1.7222446e+00 -1.3506289e+00 -9.0239674e-01
  2.6420550e+00  2.8146040e+00  5.3610663e+00  4.8681993e+00]",1
"[-6.09241638e+02  6.37151184e+01 -1.36995935e+00  3.55602431e+00
 -2.56624341e-01 -2.89967918e+00 -1.81997795e+01 -2.98888981e-01
 -2.02828293e+01 -8.71164989e+00 -1.62246532e+01 -7.71895981e+00
  3.28479028e+00 -1.09958963e+01  9.72913384e-01 -7.09783745e+00
 -6.16744518e+00 -5.75240278e+00  6.63365483e-01 -8.55680370e+00
 -8.04788494e+00  2.13839459e+00 -1.30128355e+01  6.50966108e-01
 -3.97081852e+00 -7.42316008e+00 -2.71611047e+00 -6.00441790e+00
  3.72902960e-01 -3.94520617e+00 -1.06919296e-01 -4.91300374e-01
 -1.58690953e+00 -1.85655499e+00 -2.65808272e+00  5.21306038e-01
  2.30170202e+00  3.55061674e+00  5.30813599e+00  1.32066333e+00]",1
